n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject,K
14,3,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.45055555555555554,0.4117455357142857,0.4893650793650794,0.5638860544217685,0.5218649376417231,0.606862244897959,-0.11333049886621316,0.0007076263427734375,-0.8095238095238095,True,4.0
14,3,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5643480593480594,0.5444929815554814,0.5850859672734672,0.6548413623413623,0.6207156986531985,0.6883264050764051,-0.09049330299330302,0.000209808349609375,-0.8666666666666667,True,8.0
14,4,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.36537698412698416,0.3397914186507936,0.3908447420634921,0.38392857142857145,0.35288665674603176,0.4173819444444444,-0.018551587301587284,0.47490501403808594,-0.19047619047619047,False,4.0
14,4,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5282330169830171,0.509892072048322,0.5449985674048174,0.5410308672808672,0.519140481046731,0.5632363631738632,-0.012797850297850313,0.3117942810058594,-0.26666666666666666,False,8.0
14,5,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.3234583333333334,0.30455252976190483,0.3449172619047619,0.3276488095238095,0.30970386904761904,0.3440679563492063,-0.0041904761904761655,0.6215133666992188,-0.13333333333333333,False,4.0
14,5,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.4860135975135975,0.47253767482517484,0.49936118881118874,0.48761334961334957,0.4759748087560587,0.4990308090058089,-0.0015997520997521387,0.9854354858398438,0.009523809523809525,False,8.0
20,3,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.41803481240981244,0.38865850468975466,0.44951359577922084,0.6418353174603175,0.5800928706709956,0.7061631268037517,-0.22380050505050506,3.62396240234375e-05,-0.9333333333333333,True,6.0
20,3,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5796807511803642,0.558872924380616,0.5983871561445092,0.722366892438487,0.6776561840238795,0.7700162021286246,-0.14268614125812268,1.9073486328125e-06,-1.0,True,12.0
20,4,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.35437094155844157,0.3284421672077923,0.3796407039141414,0.4153183621933622,0.38708327696608946,0.44655852047258293,-0.060947420634920646,0.01923370361328125,-0.5904761904761905,False,6.0
20,4,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.527075205925825,0.5095442885234389,0.5447091305989332,0.5589810298275856,0.5387819263586001,0.5822695758001244,-0.031905823901760444,0.069580078125,-0.4666666666666667,False,12.0
20,5,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.32591720779220773,0.30942340367965365,0.3423689664502164,0.3645559163059163,0.34063725423881674,0.38830350378787876,-0.038638708513708486,0.058258056640625,-0.4857142857142857,False,6.0
20,5,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5008639053799656,0.49027952607409353,0.5117464809152406,0.5297154360732148,0.5143001519754323,0.5455423787480579,-0.028851530693248972,0.0031528472900390625,-0.7238095238095238,False,12.0
8,3,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.4104166666666666,0.3638715277777777,0.4590277777777777,0.39166666666666666,0.3506944444444444,0.4354166666666666,0.01874999999999999,0.6811122490831447,0.10476190476190476,False,2.0
8,3,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.562202380952381,0.537921626984127,0.5857161458333333,0.585218253968254,0.5611600942460319,0.6084827628968253,-0.023015873015872997,0.06733069932137338,-0.4666666666666667,False,5.0
8,4,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.31180555555555556,0.2809027777777778,0.34756944444444443,0.3386111111111111,0.3122222222222222,0.36722222222222217,-0.026805555555555544,0.04997990729050144,-0.5,False,2.0
8,4,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.5458829365079365,0.5233382936507935,0.5690724206349206,0.561200396825397,0.5441020585317461,0.5776992807539684,-0.01531746031746041,0.14290618896484375,-0.38095238095238093,False,5.0
8,5,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.26708333333333334,0.24854166666666666,0.28541666666666665,0.3151851851851852,0.2967129629629629,0.3356956018518518,-0.048101851851851854,2.6702880859375e-05,-0.9428571428571428,True,2.0
8,5,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.5120610119047619,0.49600390624999996,0.5290414806547618,0.5341484788359787,0.5236044146825395,0.5446432705026454,-0.02208746693121686,0.0004825592041015625,-0.8285714285714286,True,5.0
14,3,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.45055555555555554,0.4117455357142857,0.4893650793650794,0.45821428571428574,0.41355158730158736,0.5109930555555556,-0.007658730158730165,0.956329345703125,-0.01904761904761905,False,4.0
14,3,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.5643480593480594,0.5444929815554814,0.5850859672734672,0.5814415214415214,0.5590196215821215,0.6043708074333075,-0.017093462093462106,0.14290618896484375,-0.38095238095238093,False,8.0
14,4,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.36537698412698416,0.3397914186507936,0.3908447420634921,0.37640476190476185,0.35232142857142856,0.4011906746031746,-0.011027777777777758,0.24548721313476562,-0.3047619047619048,False,4.0
14,4,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.5282330169830171,0.509892072048322,0.5449985674048174,0.5344224294224292,0.5213060767935767,0.5481211506086504,-0.006189412439412329,0.5458755493164062,-0.1619047619047619,False,8.0
14,5,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.3234583333333334,0.30455252976190483,0.3449172619047619,0.3508902116402116,0.33567718253968254,0.36729391534391526,-0.027431878306878276,0.002712249755859375,-0.7333333333333333,False,4.0
14,5,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.4860135975135975,0.47253767482517484,0.49936118881118874,0.5072452115785449,0.4972646268854603,0.5176799959299958,-0.02123161406494747,0.000850677490234375,-0.8,True,8.0
20,3,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.41803481240981244,0.38865850468975466,0.44951359577922084,0.4426930014430014,0.41363395111832607,0.4721549422799422,-0.024658189033189032,0.039989471435546875,-0.5238095238095238,False,6.0
20,3,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.5796807511803642,0.558872924380616,0.5983871561445092,0.5956460154912168,0.5741974099440721,0.6174671564138475,-0.015965264310852538,0.24548721313476562,-0.3047619047619048,False,12.0
20,4,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.35437094155844157,0.3284421672077923,0.3796407039141414,0.3911058802308802,0.36775597041847036,0.4162016594516594,-0.036734938672438676,0.002712249755859375,-0.7333333333333333,False,6.0
20,4,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.527075205925825,0.5095442885234389,0.5447091305989332,0.5461703703073673,0.5326106367091371,0.560946570682929,-0.019095164381542063,0.0010166168212890625,-0.7904761904761904,True,12.0
20,5,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.32591720779220773,0.30942340367965365,0.3423689664502164,0.35555633718133717,0.34516518308080807,0.3656729196729196,-0.029639129389129347,0.0003223419189453125,-0.8476190476190476,True,6.0
20,5,feature_overlap,ovr_feature_overlap,contrastive_feature_overlap,20,0.5008639053799656,0.49027952607409353,0.5117464809152406,0.5228016594402043,0.5166227054328254,0.5300067882556756,-0.021937754060238592,0.0010166168212890625,-0.7904761904761904,True,12.0
8,3,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.54375,0.48472222222222217,0.6090277777777777,0.39166666666666666,0.3506944444444444,0.4354166666666666,0.15208333333333332,0.0008881071074976897,0.8476190476190476,True,2.0
8,3,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.6652281746031746,0.6336793154761905,0.6968272569444444,0.585218253968254,0.5611600942460319,0.6084827628968253,0.08000992063492063,0.001689910888671875,0.7619047619047619,False,5.0
8,4,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.36111111111111105,0.32673611111111106,0.4007031249999999,0.3386111111111111,0.3122222222222222,0.36722222222222217,0.022499999999999996,0.1402746795029888,0.3761904761904762,False,2.0
8,4,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.5494667658730157,0.530368923611111,0.5686309523809523,0.561200396825397,0.5441020585317461,0.5776992807539684,-0.01173363095238104,0.6476554870605469,-0.12380952380952381,False,5.0
8,5,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.3088888888888889,0.2760399305555556,0.34291840277777774,0.3151851851851852,0.2967129629629629,0.3356956018518518,-0.0062962962962963,0.4665826857469776,-0.18571428571428572,False,2.0
8,5,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.538640873015873,0.5232013268849205,0.5557134176587301,0.5341484788359787,0.5236044146825395,0.5446432705026454,0.004492394179894238,0.49800872802734375,0.18095238095238095,False,5.0
14,3,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.5638860544217685,0.5218649376417231,0.606862244897959,0.45821428571428574,0.41355158730158736,0.5109930555555556,0.105671768707483,0.0075960105122107454,0.680952380952381,False,4.0
14,3,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.6548413623413623,0.6207156986531985,0.6883264050764051,0.5814415214415214,0.5590196215821215,0.6043708074333075,0.0733998408998409,0.0042209625244140625,0.7047619047619048,False,8.0
14,4,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.38392857142857145,0.35288665674603176,0.4173819444444444,0.37640476190476185,0.35232142857142856,0.4011906746031746,0.00752380952380953,0.8983173370361328,0.0380952380952381,False,4.0
14,4,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.5410308672808672,0.519140481046731,0.5632363631738632,0.5344224294224292,0.5213060767935767,0.5481211506086504,0.006608437858437985,0.7011814117431641,0.10476190476190476,False,8.0
14,5,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.3276488095238095,0.30970386904761904,0.3440679563492063,0.3508902116402116,0.33567718253968254,0.36729391534391526,-0.023241402116402115,0.15364646911621094,-0.37142857142857144,False,4.0
14,5,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.48761334961334957,0.4759748087560587,0.4990308090058089,0.5072452115785449,0.4972646268854603,0.5176799959299958,-0.019631861965195334,0.04405403137207031,-0.5142857142857142,False,8.0
20,3,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.6418353174603175,0.5800928706709956,0.7061631268037517,0.4426930014430014,0.41363395111832607,0.4721549422799422,0.19914231601731602,0.0001049041748046875,0.8952380952380953,True,6.0
20,3,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.722366892438487,0.6776561840238795,0.7700162021286246,0.5956460154912168,0.5741974099440721,0.6174671564138475,0.12672087694727013,0.000133514404296875,0.8857142857142857,True,12.0
20,4,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.4153183621933622,0.38708327696608946,0.44655852047258293,0.3911058802308802,0.36775597041847036,0.4162016594516594,0.024212481962481963,0.34881019592285156,0.24761904761904763,False,6.0
20,4,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.5589810298275856,0.5387819263586001,0.5822695758001244,0.5461703703073673,0.5326106367091371,0.560946570682929,0.012810659520218379,0.5216732025146484,0.17142857142857143,False,12.0
20,5,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.3645559163059163,0.34063725423881674,0.38830350378787876,0.35555633718133717,0.34516518308080807,0.3656729196729196,0.008999579124579143,0.6215133666992188,0.13333333333333333,False,6.0
20,5,feature_overlap,fisher_feature_overlap,contrastive_feature_overlap,20,0.5297154360732148,0.5143001519754323,0.5455423787480579,0.5228016594402043,0.5166227054328254,0.5300067882556756,0.006913776633010379,0.47490501403808594,0.19047619047619047,False,12.0
