n_features,n_classes,ridge_spearman,ridge_recall,logistic_spearman,logistic_recall,seed
8,3,1.0,1.0,1.0,1.0,19
8,3,1.0,1.0,0.9761904761904763,1.0,19
8,3,0.9761904761904763,1.0,0.9761904761904763,1.0,19
8,3,1.0,1.0,0.9523809523809524,0.75,19
8,3,1.0,1.0,1.0,1.0,19
8,3,1.0,1.0,1.0,1.0,19
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,1.0,1.0,0
8,4,1.0,1.0,0.9761904761904763,0.75,1
8,4,1.0,1.0,0.9761904761904763,1.0,1
8,4,1.0,1.0,1.0,1.0,1
8,4,1.0,1.0,1.0,1.0,1
8,4,1.0,1.0,0.9761904761904763,1.0,1
8,4,1.0,1.0,1.0,1.0,1
8,4,1.0,1.0,0.9761904761904763,1.0,1
8,4,1.0,1.0,0.9761904761904763,1.0,1
8,4,1.0,1.0,1.0,1.0,2
8,4,1.0,1.0,0.9761904761904763,1.0,2
8,4,0.9761904761904763,1.0,0.9761904761904763,1.0,2
8,4,1.0,1.0,1.0,1.0,2
8,4,1.0,1.0,1.0,1.0,2
8,4,1.0,1.0,1.0,1.0,2
8,4,0.9761904761904763,1.0,0.9285714285714287,1.0,2
8,4,1.0,1.0,1.0,1.0,2
8,4,1.0,1.0,1.0,1.0,3
8,4,1.0,1.0,1.0,1.0,3
8,4,0.9761904761904763,1.0,0.9761904761904763,1.0,3
8,4,0.9761904761904763,1.0,0.9761904761904763,1.0,3
8,4,1.0,1.0,1.0,1.0,3
8,4,1.0,1.0,1.0,1.0,3
8,4,1.0,1.0,1.0,1.0,3
8,4,1.0,1.0,1.0,1.0,3
8,4,1.0,1.0,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,4
8,4,1.0,1.0,1.0,1.0,4
