n_features,n_classes,K,ovr_union_fidelity_test,ovr_union_complexity,ovr_exact_fidelity_test,ovr_exact_complexity,ovr_union_half_fidelity_test,ovr_union_half_complexity,pairwise_lime_fidelity_test,pairwise_lime_complexity,pairwise_lime_brier_test,contrastive_fidelity_test,contrastive_complexity,contrastive_brier_test,logistic_fidelity_test,logistic_complexity,logistic_brier_test,seed
8,3,2,0.7041192047965283,2,0.7041192047965283,2,0.6569909898154791,1,0.6915237414896394,2,0.022827043063546305,0.6854117996357098,2,0.02297079064426081,0.6915237414896394,2,0.022730175379891675,6
8,3,4,0.7233781840376462,6,0.7372880957667803,4,0.7041192047965283,2,0.717003287829386,4,0.019002763395288707,0.7237075456066628,4,0.019710241144230128,0.6902989285338009,4,0.022620070205724048,6
8,3,2,0.7015817128859585,2,0.7015817128859585,2,0.698214987050103,1,0.6990575241750934,2,0.012719474196226863,0.7011668773155331,2,0.012659268534115128,0.6898266254658146,2,0.01482500589554892,6
8,3,4,0.7655639087345922,6,0.7230502676584144,4,0.7015817128859585,2,0.7409496481968704,4,0.010656531220556332,0.7448486650123729,4,0.010556278129644788,0.729535453731892,4,0.011445670588556642,6
8,3,2,0.9206802425264485,3,0.9206802425264485,2,0.9206802425264485,2,0.9206802425264485,2,0.015226561924099952,0.9206802425264485,2,0.015457626199661493,0.9206802425264485,2,0.016052479862051345,7
8,3,4,0.9206802425264485,5,0.9206802425264485,4,0.9206802425264485,3,0.9206802425264485,4,0.015033193248575945,0.9206802425264485,4,0.015260522584078905,0.9206802425264485,4,0.014914035970188219,7
8,3,2,0.9522996479102706,3,0.9534237827119719,2,0.9522996479102706,2,0.9534237827119719,2,0.012156146514463437,0.9534237827119719,2,0.011829633375043624,0.9534237827119719,2,0.012174174921722012,7
8,3,4,0.9534237827119719,5,0.9534237827119719,4,0.9522996479102706,3,0.9534237827119719,4,0.011868905955589036,0.9534237827119719,4,0.0114812483727107,0.9534237827119719,4,0.011862744984927426,7
8,3,2,0.7718775109022958,3,0.7734938895785605,2,0.7520005811115138,2,0.7748671345015603,2,0.01909408390794023,0.7723716458043625,2,0.01899811836498281,0.7776122326455014,2,0.018993590828120056,7
8,3,4,0.762518467265597,5,0.7769680839477675,4,0.7718775109022958,3,0.7923514875025421,4,0.018488093101890164,0.7925075652795467,4,0.017251756763743385,0.7923514875025421,4,0.018345654959232724,7
8,3,2,0.8252906938283496,3,0.8340714146515258,2,0.830324991963818,2,0.8416717075170196,2,0.01832462087637898,0.8347759232265148,2,0.021563232532222743,0.8370230493466104,2,0.0206567097548171,7
8,3,4,0.8346558535384209,5,0.8279162956981664,4,0.8252906938283496,3,0.8442644667047865,4,0.018147773965491693,0.8426840516107363,4,0.018461029004544254,0.8521778797625746,4,0.017870940330115593,7
8,3,2,0.8168180642007166,3,0.829750029654051,2,0.8028314952140136,1,0.829146301456375,2,0.023187543761879006,0.8325394600808016,2,0.02261097317312201,0.8081787071063536,2,0.024184056677962442,7
8,3,4,0.8262506773902426,5,0.8174442602239226,4,0.8168180642007166,3,0.8295662901599696,4,0.021773468135618392,0.8316595676301342,4,0.02192327588400592,0.8228577346150396,4,0.02161973213234961,7
8,3,2,0.8027039539323966,2,0.8027039539323966,2,0.7549695982767839,1,0.7941076224421634,2,0.019940764323324395,0.7952132387424989,2,0.01942805082512112,0.7461854121354781,2,0.02492840966120428,7
8,3,4,0.8055674506507341,4,0.8055674506507341,4,0.8027039539323966,2,0.7955539469104664,4,0.017831080737361216,0.8105539923314969,4,0.017216502177122003,0.7555075913286513,4,0.023293519763148904,7
8,3,2,0.9295192799837705,3,0.9295192799837705,2,0.9295192799837705,2,0.9295192799837705,2,0.014367904621955087,0.9295192799837705,2,0.014452003223003471,0.9295192799837705,2,0.014337078119397731,7
8,3,4,0.9295192799837705,4,0.9295192799837705,4,0.9295192799837705,3,0.9295192799837705,4,0.01445018497380952,0.9295192799837705,4,0.014538077426205238,0.9295192799837705,4,0.014210967696715798,7
8,3,2,0.7747088835075437,3,0.7369542003596766,2,0.7424514908610375,1,0.797545361883703,2,0.022786086372517077,0.7588106417492744,2,0.023216984550763247,0.7556397191463153,2,0.02315883782295219,7
8,3,4,0.8061246405870321,5,0.8164095809415158,4,0.7747088835075437,3,0.8186336178420033,4,0.021234060852850397,0.8235019631461189,4,0.020947262611974993,0.8230591772141143,4,0.020711563021712277,7
