n_features,n_classes,K,pair_lasso_recall,pair_lasso_spearman,fisher_select_recall,fisher_select_spearman,ridge_select_recall,ridge_select_spearman,joint_lasso_recall,joint_lasso_spearman,joint_refit_recall,joint_refit_spearman,seed
8,3,5,0.8,0.80511756018254,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.80511756018254,0.8,0.8783100656536799,1
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,2
8,3,5,1.0,0.9759000729485332,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.9027075674773933,0.8,0.9271050693011065,2
8,3,2,0.5,0.7325886315065459,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,2
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8783100656536799,0.8,0.8783100656536799,2
8,3,2,0.5,0.6546536707079772,0.5,0.6546536707079772,0.5,0.6546536707079772,0.5,0.7325886315065459,0.5,0.7637626158259734,2
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8783100656536799,0.8,0.8783100656536799,2
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,2
8,3,5,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.9271050693011065,0.8,0.9027075674773933,0.8,0.9271050693011065,2
8,3,2,0.5,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,2
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8783100656536799,0.8,0.8783100656536799,2
8,3,2,0.5,0.7325886315065459,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,2
8,3,5,1.0,0.9759000729485332,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8783100656536799,0.8,0.8783100656536799,2
8,3,2,0.5,0.7325886315065459,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,2
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,0.8,0.9271050693011065,0.8,0.8783100656536799,0.8,0.8783100656536799,2
8,3,2,0.5,0.6546536707079772,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7325886315065459,0.5,0.7637626158259734,2
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8783100656536799,0.8,0.8783100656536799,2
8,3,2,0.5,0.5923057020691221,0.5,0.4052617961525573,0.5,0.4052617961525573,0.0,0.23380488239570615,0.0,0.2649788667151336,3
8,3,5,0.8,0.8539125638299666,0.8,0.8783100656536799,0.8,0.8783100656536799,0.8,0.7319250547113999,0.8,0.9027075674773933,3
8,3,2,0.5,0.48319675695112596,0.5,0.545544725589981,0.5,0.545544725589981,0.0,0.23380488239570615,0.0,0.2649788667151336,3
8,3,5,0.8,0.8295150620062534,1.0,0.9759000729485332,1.0,0.9759000729485332,0.6,0.46355253465055324,0.6,0.5855400437691199,3
8,3,2,0.5,0.48319675695112596,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,0.23380488239570615,0.0,0.2649788667151336,3
8,3,5,0.8,0.8295150620062534,1.0,0.95150257112482,1.0,0.95150257112482,0.8,0.7563225565351133,0.8,0.9759000729485332,3
8,3,2,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,3
8,3,5,0.8,0.9271050693011065,0.8,0.9271050693011065,0.8,0.9271050693011065,0.6,0.80511756018254,0.6,0.8295150620062534,3
8,3,2,0.5,0.48319675695112596,0.5,0.545544725589981,0.5,0.545544725589981,0.0,0.23380488239570615,0.0,0.2649788667151336,3
8,3,5,1.0,0.9027075674773933,0.8,0.9271050693011065,1.0,0.95150257112482,0.8,0.5855400437691199,0.8,0.9759000729485332,3
8,3,2,0.5,0.48319675695112596,0.5,0.545544725589981,0.0,0.2649788667151336,0.0,0.23380488239570615,0.0,0.2649788667151336,3
8,3,5,0.8,0.8539125638299666,0.8,0.8783100656536799,0.8,0.8783100656536799,0.8,0.6831300510639733,0.8,0.9271050693011065,3
8,3,2,0.5,0.5923057020691221,0.5,0.545544725589981,0.5,0.4052617961525573,0.0,0.23380488239570615,0.0,0.2649788667151336,3
8,3,5,0.8,0.9027075674773933,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.7075275528876865,0.8,0.9271050693011065,3
8,3,2,0.5,0.5923057020691221,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,0.23380488239570615,0.0,0.2649788667151336,3
